#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Temperature (K), Power (K)
8.0910000000e+09, -3.3144130000e-02, -3.7007830000e-02, -2.6076349895e+01, -2.3011739262e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0910500000e+09, -3.4296490000e-02, -3.6481550000e-02, -2.6008192113e+01, -2.3253322875e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0911000000e+09, -3.4992590000e-02, -3.4956850000e-02, -2.6114613983e+01, -2.3567054306e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0911500000e+09, -3.6043360000e-02, -3.4675530000e-02, -2.6017966836e+01, -2.3755338699e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0912000000e+09, -3.5953180000e-02, -3.3552270000e-02, -2.6164743846e+01, -2.3907235201e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0912500000e+09, -3.7155760000e-02, -3.2940010000e-02, -2.6080783016e+01, -2.4162648483e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0913000000e+09, -3.7096860000e-02, -3.2437440000e-02, -2.6146861183e+01, -2.4231034088e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0913500000e+09, -3.7584540000e-02, -3.1433660000e-02, -2.6196670592e+01, -2.4450793507e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0914000000e+09, -3.8469660000e-02, -3.1024810000e-02, -2.6121736822e+01, -2.4629161347e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0914500000e+09, -3.9534030000e-02, -2.9848490000e-02, -2.6101481155e+01, -2.4948944267e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0915000000e+09, -3.9739410000e-02, -2.9426640000e-02, -2.6116948756e+01, -2.5042057095e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0915500000e+09, -3.9952200000e-02, -2.8559900000e-02, -2.6176503949e+01, -2.5209684619e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0916000000e+09, -4.0474660000e-02, -2.7627890000e-02, -2.6195176969e+01, -2.5426421479e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0916500000e+09, -4.0808870000e-02, -2.6433520000e-02, -2.6263351030e+01, -2.5668081275e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0917000000e+09, -4.1718720000e-02, -2.6075100000e-02, -2.6161195955e+01, -2.5829778252e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0917500000e+09, -4.2085090000e-02, -2.5464320000e-02, -2.6162588664e+01, -2.5974553826e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
